,Tourist_spot,Area,City,Rating,Categories,Address,coordinates,latitude,longitude
98,Agra Day Tour Packages,Open now,Delhi,5.0,"['City Tours', 'Historical & Heritage Tours']","Agra Day Tour Packages,Delhi",K V Tour Packages,28.658180000000073,77.27715000000006
99,India Taxi Services,Open now,Delhi,5.0,Taxis & Shuttles,"India Taxi Services,Delhi",Delhi Taxi Services,28.59618000000006,77.05100000000004
100,Delhi Taxi Hire,,Delhi,5.0,Taxis & Shuttles,"Delhi Taxi Hire,Delhi","Delhi, Connaught Place, New Delhi, Delhi",28.63409000000007,77.21693000000005
101,Private Driver In India,Open now,Delhi,5.0,"['Cultural Tours', 'Taxis & Shuttles']","Private Driver In India,Delhi",Driven,28.554230000000075,77.24360000000007
102,Presidential Wheels,,Delhi,5.0,Taxis & Shuttles,"Presidential Wheels,Delhi","residential, Mukundpur, New Delhi, North, Delhi, 110042",28.740049986513355,77.18391996677218
103,INDIA taxi &amp; tours,,Delhi,5.0,Taxis & Shuttles,"INDIA taxi &amp; tours,Delhi",Delhi Tours,28.63567000000006,77.22021000000007
104,Flexible Driver in India,Open now,Delhi,5.0,Taxis & Shuttles,"Flexible Driver in India,Delhi",Driven,28.554230000000075,77.24360000000007
105,Chaman Duggal Private Tours,Minto Road,Delhi,5.0,"['City Tours', 'Cultural Tours']","Chaman Duggal Private Tours,Delhi","Delhi, Vera Cruz, Díli",-8.55860999999993,125.57361000000003
106,Delhi Food Walks,Chandni Chowk,Delhi,5.0,"['Cultural Tours', 'Walking Tours']","Delhi Food Walks,Delhi",Delhi,28.587870000000066,77.16890000000006
107,Perfect Agra Tours,Open now,Delhi,5.0,"['Multi-day Tours', 'Historical & Heritage Tours']","Perfect Agra Tours,Delhi",Perfect,28.701230000000066,77.27991000000003
108,Travel India One Day,Open now,Delhi,5.0,"['City Tours', 'Multi-day Tours']","Travel India One Day,Delhi",One Day,28.709550000000036,77.21387000000004
109,India Private Tourist Taxi,Saket,Delhi,5.0,Taxis & Shuttles,"India Private Tourist Taxi,Delhi",TCTT Tourism Private Ltd,28.630330000000072,77.07969000000008
110,Cook with Surbhi,Open now,Delhi,5.0,Cooking Classes,"Cook with Surbhi,Delhi","Delhi, Vera Cruz, Díli",-8.55860999999993,125.57361000000003
111,Saniya Tour And Travels,Mehrauli/Qutub Minar,Delhi,5.0,"['Cultural Tours', 'Historical & Heritage Tours']","Saniya Tour And Travels,Delhi",Soniya Tour & Travels,28.69387000000006,77.04831000000007
112,India Private Taxi Driver,Open now,Delhi,5.0,Taxis & Shuttles,"India Private Taxi Driver,Delhi","Delhi, Connaught Place, New Delhi, Delhi",28.63409000000007,77.21693000000005
113,Taj Destination Tours,Mehrauli/Qutub Minar,Delhi,5.0,"['Multi-day Tours', 'Historical & Heritage Tours']","Taj Destination Tours,Delhi",Destination,22.823300000000074,88.23650000000004
114,Akshay Private Tourist Taxi,Open now,Delhi,5.0,Taxis & Shuttles,"Akshay Private Tourist Taxi,Delhi","Delhi, Vera Cruz, Díli",-8.55860999999993,125.57361000000003
115,Ashok's Taxi Tours,,Delhi,5.0,"['Multi-day Tours', 'Sightseeing Tours']","Ashok's Taxi Tours,Delhi","Delhi, Vera Cruz, Díli",-8.55860999999993,125.57361000000003
116,Travel India by Private Taxi,,Delhi,5.0,Taxis & Shuttles,"Travel India by Private Taxi,Delhi","Delhi, Connaught Place, New Delhi, Delhi",28.63409000000007,77.21693000000005
117,DelhiByCycle,Minto Road,Delhi,5.0,"['City Tours', 'Cultural Tours']","DelhiByCycle,Delhi","Delhi, Vera Cruz, Díli",-8.55860999999993,125.57361000000003
118,Reality Tours &amp; Travel,,Delhi,5.0,"['City Tours', 'Cultural Tours']","Reality Tours &amp; Travel,Delhi","Delhi, Vera Cruz, Díli",-8.55860999999993,125.57361000000003
119,Incredible Real India Tours &amp; Travels,Greater Kailash I,Delhi,5.0,"['City Tours', 'Cultural Tours']","Incredible Real India Tours &amp; Travels,Delhi","Delhi, Connaught Place, New Delhi, Delhi",28.63409000000007,77.21693000000005
